docker compose -f docker-compose.dev.yaml logs --follow
server   | 2026/08/29 14:26:06 INFO action=accept-connection result=in-progress 
server   | 2026/08/29 14:26:06 INFO action=accept-connection result=success 
server   | 2026/08/29 14:26:06 INFO action=handle-client result=in-progress 
server   | 2026/08/29 14:26:06 INFO action=recv-all result=in-progress bytes-received=b'1'
server   | 2026/08/29 14:26:06 INFO action=send-all result=in-progress bytes-sent=1
client1  | 2026/08/29 14:26:05 INFO action=connect-to-server result=in-progress
client1  | 2026/08/29 14:26:05 WARN action=connect-to-server result=fail attempt=0
client1  | 2026/08/29 14:26:06 WARN action=connect-to-server result=fail attempt=1
client1  | 2026/08/29 14:26:06 INFO action=connect-to-server result=success
client1  | 2026/08/29 14:26:06 INFO action=read-csv-file result=success records=3
client1  | 2026/08/29 14:26:06 INFO action=test-echo-server result=in-progress agency-id=1 message-id=0
client1  | 2026/08/29 14:26:06 INFO action=response result=success agency-id=1 response=1
client1  | 2026/08/29 14:26:06 INFO action=check-response result=in-progress !BADKEY=1
client1  | 2026/08/29 14:26:07 INFO action=test-echo-server result=in-progress agency-id=1 message-id=1
server   | 2026/08/29 14:26:07 INFO action=recv-all result=in-progress bytes-received=b'1'
client1  | 2026/08/29 14:26:07 INFO action=response result=success agency-id=1 response=1
client1  | 2026/08/29 14:26:07 INFO action=check-response result=in-progress !BADKEY=1
server   | 2026/08/29 14:26:07 INFO action=send-all result=in-progress bytes-sent=1
client1  | 2026/08/29 14:26:08 INFO action=test-echo-server result=in-progress agency-id=1 message-id=2
server   | 2026/08/29 14:26:08 INFO action=recv-all result=in-progress bytes-received=b'1'
server   | 2026/08/29 14:26:08 INFO action=send-all result=in-progress bytes-sent=1
client1  | 2026/08/29 14:26:08 INFO action=response result=success agency-id=1 response=1
client1  | 2026/08/29 14:26:08 INFO action=check-response result=in-progress !BADKEY=1
client1  | 2026/08/29 14:26:09 INFO action=test-echo-server result=success agency-id=1
client1  | 2026/08/29 14:26:09 INFO action=record result=success agency-id=1 record-id=0 record="[Santiago Lionel Lorca 30904465 1999-03-17 2201]"
client1  | 2026/08/29 14:26:09 INFO action=NewPlayFromRecord result=success !BADKEY=" Successfully created Play struct from record"
client1  | 2026/08/29 14:26:09 INFO action=SerializePlay result=success !BADKEY=" Successfully serialized Play struct"
server   | 2026/08/29 14:26:09 INFO action=recv-all result=in-progress bytes-received=b'\x00'
server   | 2026/08/29 14:26:09 INFO action=send-all result=in-progress bytes-sent=1
server   | 2026/08/29 14:26:09 INFO action=recv-all result=in-progress bytes-received=b'\x00'
server   | 2026/08/29 14:26:09 INFO action=send-all result=in-progress bytes-sent=1
server   | 2026/08/29 14:26:09 INFO action=recv-all result=in-progress bytes-received=b'\x00'
server   | 2026/08/29 14:26:09 INFO action=send-all result=in-progress bytes-sent=1
server   | 2026/08/29 14:26:09 INFO action=recv-all result=in-progress bytes-received=b'!'
server   | 2026/08/29 14:26:09 INFO action=send-all result=in-progress bytes-sent=1
server   | 2026/08/29 14:26:09 INFO action=recv-all result=in-progress bytes-received=b'\x01'
server   | 2026/08/29 14:26:09 INFO action=send-all result=in-progress bytes-sent=1
server   | 2026/08/29 14:26:09 INFO action=recv-all result=in-progress bytes-received=b'\x0f'
server   | 2026/08/29 14:26:09 INFO action=send-all result=in-progress bytes-sent=1
server   | 2026/08/29 14:26:09 INFO action=recv-all result=in-progress bytes-received=b'S'
server   | 2026/08/29 14:26:09 INFO action=send-all result=in-progress bytes-sent=1
server   | 2026/08/29 14:26:09 INFO action=recv-all result=in-progress bytes-received=b'a'
server   | 2026/08/29 14:26:09 INFO action=send-all result=in-progress bytes-sent=1
server   | 2026/08/29 14:26:09 INFO action=recv-all result=in-progress bytes-received=b'n'
server   | 2026/08/29 14:26:09 INFO action=send-all result=in-progress bytes-sent=1
server   | 2026/08/29 14:26:09 INFO action=recv-all result=in-progress bytes-received=b't'
server   | 2026/08/29 14:26:09 INFO action=send-all result=in-progress bytes-sent=1
server   | 2026/08/29 14:26:09 INFO action=recv-all result=in-progress bytes-received=b'i'
server   | 2026/08/29 14:26:09 INFO action=send-all result=in-progress bytes-sent=1
server   | 2026/08/29 14:26:09 INFO action=recv-all result=in-progress bytes-received=b'a'
server   | 2026/08/29 14:26:09 INFO action=send-all result=in-progress bytes-sent=1
server   | 2026/08/29 14:26:09 INFO action=recv-all result=in-progress bytes-received=b'g'
server   | 2026/08/29 14:26:09 INFO action=send-all result=in-progress bytes-sent=1
server   | 2026/08/29 14:26:09 INFO action=recv-all result=in-progress bytes-received=b'o'
server   | 2026/08/29 14:26:09 INFO action=send-all result=in-progress bytes-sent=1
server   | 2026/08/29 14:26:09 INFO action=recv-all result=in-progress bytes-received=b' '
server   | 2026/08/29 14:26:09 INFO action=send-all result=in-progress bytes-sent=1
server   | 2026/08/29 14:26:09 INFO action=recv-all result=in-progress bytes-received=b'L'
server   | 2026/08/29 14:26:09 INFO action=send-all result=in-progress bytes-sent=1
server   | 2026/08/29 14:26:09 INFO action=recv-all result=in-progress bytes-received=b'i'
server   | 2026/08/29 14:26:09 INFO action=send-all result=in-progress bytes-sent=1
server   | 2026/08/29 14:26:09 INFO action=recv-all result=in-progress bytes-received=b'o'
server   | 2026/08/29 14:26:09 INFO action=send-all result=in-progress bytes-sent=1
server   | 2026/08/29 14:26:09 INFO action=recv-all result=in-progress bytes-received=b'n'
server   | 2026/08/29 14:26:09 INFO action=send-all result=in-progress bytes-sent=1
server   | 2026/08/29 14:26:09 INFO action=recv-all result=in-progress bytes-received=b'e'
server   | 2026/08/29 14:26:09 INFO action=send-all result=in-progress bytes-sent=1
server   | 2026/08/29 14:26:09 INFO action=recv-all result=in-progress bytes-received=b'l'
server   | 2026/08/29 14:26:09 INFO action=send-all result=in-progress bytes-sent=1
server   | 2026/08/29 14:26:09 INFO action=recv-all result=in-progress bytes-received=b'\x05'
server   | 2026/08/29 14:26:09 INFO action=send-all result=in-progress bytes-sent=1
server   | 2026/08/29 14:26:09 INFO action=recv-all result=in-progress bytes-received=b'L'
server   | 2026/08/29 14:26:09 INFO action=send-all result=in-progress bytes-sent=1
server   | 2026/08/29 14:26:09 INFO action=recv-all result=in-progress bytes-received=b'o'
server   | 2026/08/29 14:26:09 INFO action=send-all result=in-progress bytes-sent=1
server   | 2026/08/29 14:26:09 INFO action=recv-all result=in-progress bytes-received=b'r'
server   | 2026/08/29 14:26:09 INFO action=send-all result=in-progress bytes-sent=1
server   | 2026/08/29 14:26:09 INFO action=recv-all result=in-progress bytes-received=b'c'
server   | 2026/08/29 14:26:09 INFO action=send-all result=in-progress bytes-sent=1
server   | 2026/08/29 14:26:09 INFO action=recv-all result=in-progress bytes-received=b'a'
server   | 2026/08/29 14:26:09 INFO action=send-all result=in-progress bytes-sent=1
server   | 2026/08/29 14:26:09 INFO action=recv-all result=in-progress bytes-received=b'\x01'
server   | 2026/08/29 14:26:09 INFO action=send-all result=in-progress bytes-sent=1
server   | 2026/08/29 14:26:09 INFO action=recv-all result=in-progress bytes-received=b'\xd7'
server   | 2026/08/29 14:26:09 INFO action=send-all result=in-progress bytes-sent=1
server   | 2026/08/29 14:26:09 INFO action=recv-all result=in-progress bytes-received=b'\x90'
server   | 2026/08/29 14:26:09 INFO action=send-all result=in-progress bytes-sent=1
server   | 2026/08/29 14:26:09 INFO action=recv-all result=in-progress bytes-received=b'\x91'
server   | 2026/08/29 14:26:09 INFO action=send-all result=in-progress bytes-sent=1
